name,quantity,cost,unitPrice,photo
Copo café Stanley,1,99,99,
Garrafas pretas Stanley,2,38,98,
Garrafas Stanley azul,1,20,49.90,
Tomada inteligente,1,38,108,
Capinhas coloridas iPhone,5,7,27,
Capinhas transparentes,4,7,29,
Películas,8,3.50,19,
Microfone Kaidi,1,50,119,
Cabos tipo C,2,10,35,
Fones Bluetooth,4,16,49.90,
Powerbank,1,80,200,
Relógio digital Aziki,1,80,189,
Game box,1,30,80,
Fone Bluetooth Kaidi,1,60,179,
Mouse,1,25,49.90,
Carregadores micro Inova,1,10,49,
Carregador micro Kaidi,1,15,79,
Carregadores tipo c,2,20,79,
Powerbank com cabo,1,70,185,
Fone com cabo,1,5,10,
Cabos USB tipo c,1,10,29,
Cabo tipo c inova 2m,1,15,39,
Pulseira avulsa Relógio,1,10,29,
Combo 5+1 pelicula,1,10.50,99,
